ï..country,year,life_expectancy,alcohol,health_spend,bmi,population
Afghanistan,2013,59.9,0.01,73.21924272,18.1,31731688
Albania,2013,77.2,4.76,430.8769785,56.5,289592
Algeria,2013,75.3,0.53,544.4507432,57.2,38338562
Angola,2013,51.1,8.1,35.95857279,22.1,2599834
Argentina,2013,76,8.28,1001.796332,61.6,42539925
Armenia,2013,74.4,3.79,279.4290812,53.3,289359
Australia,2013,82.5,9.87,11734.85381,65.5,23117353
Austria,2013,81.1,11.82,90.58501176,56.6,8479375
Azerbaijan,2013,72.2,2.14,275.6514934,5.6,941681
Bangladesh,2013,71,0.01,52.82986467,17,157571292
Belarus,2013,71.7,14.66,1109.854619,61.1,9465997
Belgium,2013,87,11.77,702.359357,63,11182817
Belize,2013,69.8,6.56,629.2018591,49.3,344181
Benin,2013,59.5,0.01,87.4080423,24.6,14451
Bhutan,2013,69.1,0.01,19.79057439,22.7,764961
Bosnia and Herzegovina,2013,77,4.12,75.61062911,54.7,364999
Botswana,2013,64.2,0.01,1.117811275,36.8,212857
Brazil,2013,74.7,7.24,916.270845,54.5,2248632
Bulgaria,2013,74.1,12.06,149.659879,64.5,7265115
Burkina Faso,2013,59,4.64,88.97040214,18.2,1772723
Burundi,2013,58.6,0.01,40.15128458,17.6,96186
Cabo Verde,2013,72.8,0.01,325.6298627,29.7,5216
Cambodia,2013,67.8,0.01,8.758214538,18.2,1522692
Cameroon,2013,56.4,0.01,63.07890158,27.8,21655715
Canada,2013,81.8,8.2,9733.228019,65.8,35155451
Central African Republic,2013,49.9,0.01,52.37766601,21.6,4499653
Chad,2013,52.2,0.64,76.52382535,18.2,13133589
Chile,2013,81,7.2,2442.222054,62.5,17462982
China,2013,75.6,5.79,9.955532032,3.9,135738
Colombia,2013,74.4,4.41,15.16255482,56.4,47342981
Comoros,2013,62.9,0.01,61.57443584,23.2,7415
Costa Rica,2013,79.4,3.42,386.1379123,58.5,47641
Croatia,2013,77.7,12.39,1899.107385,62.5,4255689
Cyprus,2013,81,9.04,212.0859259,59.2,1143896
Denmark,2013,81,9.5,10261.763,58.1,5614932
Djibouti,2013,62.7,0.53,229.4410095,33.8,896688
Dominican Republic,2013,73.4,5.93,97.52211538,56.8,1281296
Ecuador,2013,76,3.77,59.12850204,52.8,15661547
El Salvador,2013,73,2.42,653.6925016,54.7,625777
Equatorial Guinea,2013,57.4,10.72,156.3907685,23.5,183746
Estonia,2013,76.9,0.01,261.2914808,59,1317997
Ethiopia,2013,63.7,1.86,8.313282039,16.8,94887724
Fiji,2013,69.6,0.01,460.6487805,61.1,879715
Finland,2013,87,8.97,6115.496624,61.4,5438972
France,2013,82,11.1,6646.953935,61.6,6599857
Gabon,2013,64.6,8.86,154.8758879,35.2,1817271
Georgia,2013,74.5,5.91,180.3787034,54.4,3776
Germany,2013,86,10.94,895.8779503,61.4,864565
Ghana,2013,61.9,0.01,28.66897829,27.3,26346251
Greece,2013,86,7.46,2183.106986,65.4,1965211
Guatemala,2013,71.4,1.93,582.1469583,49.3,15596214
Guinea,2013,58.8,0.01,5.140668848,22.2,11536615
Guinea-Bissau,2013,58.1,0.01,8.20063742,25,1681495
Guyana,2013,65.9,7.56,345.9044258,45,75881
Haiti,2013,62.7,5.68,4.989712322,47.7,1431776
Honduras,2013,74.3,3.11,311.7553193,49.3,8657785
Hungary,2013,75.5,10.88,155.1952076,63.6,989382
Iceland,2013,82.4,7.31,764.5440691,6.2,323764
India,2013,67.6,3.11,67.67230438,17.5,127856227
Indonesia,2013,68.7,0.09,22.8478308,25.6,25232263
Iraq,2013,69.5,0.01,447.3695001,57.8,33883145
Ireland,2013,81,10.49,703.5527332,61.3,4598294
Israel,2013,82.1,2.69,4279.895512,64.2,8595
Italy,2013,82.3,7.35,483.1916844,62.6,6233948
Jamaica,2013,75.6,3.79,5.457289334,52.7,285187
Japan,2013,83.5,7.55,94.43428615,28.2,127445
Jordan,2013,73.9,0.4,546.6235156,64,8413464
Kazakhstan,2013,69.5,6.48,26.4072659,51.4,1735275
Kenya,2013,62.6,1.84,165.9304977,2.7,44826849
Kiribati,2013,65.8,0.01,137.2591943,76.7,18535
Latvia,2013,74.1,10.37,150.3116884,6.2,212647
Lebanon,2013,74.9,1.29,14.55610463,64.9,527612
Lesotho,2013,52.1,0.01,153.3443147,31.4,2117361
Liberia,2013,61.1,0.01,45.04892458,26.1,4286291
Lithuania,2013,73,15.04,1968.816817,61.4,2957689
Luxembourg,2013,81.4,11.02,15515.75234,6.5,54336
Madagascar,2013,64.7,0.87,79.50882493,19.5,22961146
Malawi,2013,56.7,0.01,55.83107625,18.8,16577147
Malaysia,2013,74.6,0.53,110.6779711,38.5,2976724
Maldives,2013,77.9,0.01,1626.591186,25.1,393
Mali,2013,57.3,0.01,36.86104319,22.5,16477818
Malta,2013,81.1,8.58,374.2947283,68.8,423374
Mauritania,2013,62.7,0.01,8.88028118,29.4,394617
Mauritius,2013,74.1,0.01,917.467628,32.3,1258653
Mexico,2013,76.6,5.23,150.408875,62.1,122535969
Mongolia,2013,68.1,0.01,241.1958645,5.4,286917
Montenegro,2013,75.8,0.01,707.144691,6.7,62127
Morocco,2013,73.9,0.45,179.8598949,56.5,33824769
Mozambique,2013,55.3,1.16,5.813338496,21.8,26434372
Myanmar,2013,66.2,0.7,38.33793462,22.1,51448196
Namibia,2013,66.1,0.01,760.6550553,34.1,231652
Nepal,2013,69.3,0.27,80.15505125,18,2798531
Netherlands,2013,81.4,8.68,1475.030397,61,1684432
Nicaragua,2013,73.9,3.58,366.4841804,52.4,5945747
Niger,2013,69,0.01,31.50243237,18.5,18426372
Nigeria,2013,53.2,8.3,194.2032879,24.1,17182933
Norway,2013,81.5,6.21,234.782883,6.3,579623
Pakistan,2013,66,0.04,60.18648815,23.9,181712595
Panama,2013,77.5,6.89,1694.467075,56.3,3838462
Papua New Guinea,2013,62.4,0.01,25.70881695,47.2,7592865
Paraguay,2013,73.8,5.03,573.4346982,48.6,646574
Peru,2013,75.3,5.38,946.6521165,54.2,3565716
Philippines,2013,68.1,4.61,24.58973399,24.3,9848132
Poland,2013,77.1,11.63,23.43533487,6.4,384196
Portugal,2013,86,10,2698.01817,6.2,1457295
Romania,2013,74.6,9.59,1230.748231,59.2,19983693
Russian Federation,2013,70,10.58,1529.497771,59.3,14356911
Rwanda,2013,65.2,0.01,11.71090655,2.1,1165151
Samoa,2013,73.6,0.01,698.3522786,73.8,19757
Sao Tome and Principe,2013,67.1,0.01,200.6600988,29.3,18745
Senegal,2013,66,0.26,11.8385319,23.2,141232
Serbia,2013,75.3,9.16,880.6403367,58.9,7164132
Seychelles,2013,72.9,0.01,1521.672751,35.5,89949
Sierra Leone,2013,54,0.01,1.321464076,23.3,692279
Slovenia,2013,85,9.53,259.7786785,58.9,259953
Solomon Islands,2013,68.8,0.01,24.73328608,48.9,563513
South Africa,2013,69,7.34,978.5905287,49.5,53311955.61
Spain,2013,82.4,9.25,423.680459,65.4,466245
Sri Lanka,2013,74.6,2.56,41.62053588,21.9,2585
Suriname,2013,71.2,6.02,1122.972967,57,54254
Swaziland,2013,57.6,0.01,708.9556648,31.2,1271456
Sweden,2013,81.9,7.3,1212.666327,58.5,96379
Switzerland,2013,83,9.73,19099.04506,56.6,889346
Tajikistan,2013,69.3,0.01,1.0419164,39,817789
Thailand,2013,74.5,6.5,788.6873403,31.3,6814365
Timor-Leste,2013,67.7,0.01,3.379874844,16.6,1184366
Togo,2013,59.4,0.01,48.73047089,23.1,742948
Tonga,2013,73.2,0.01,584.9449886,74.3,15328
Trinidad and Tobago,2013,71,6.71,167.2657906,45,1348248
Tunisia,2013,74.9,1.29,594.6453102,59.3,1114558
Turkey,2013,75.2,1.41,188.1440348,64.5,75787333
Turkmenistan,2013,65.4,2.93,63.7481117,46.7,5366277
Uganda,2013,67,0.01,90.76144414,17.6,37553726
Ukraine,2013,71,8.44,52.42529588,6.1,454896
Uruguay,2013,76.8,5.82,482.8039445,62.9,3485
Uzbekistan,2013,69.1,0.01,19.1624696,43,32432
Vanuatu,2013,71.6,0.01,447.545645,51.7,253142
Zambia,2013,63,2.41,20.62306285,22.3,1515321
Zimbabwe,2013,58,6.39,10.66670728,3.8,155456
